Date,Price,Open,High,Low,Vol.,Change %
1/19/2022,692.00,692.00,692.00,692.00,,0.00
1/18/2022,694.00,694.00,694.00,694.00,,0.00
1/17/2022,697.00,697.00,697.00,697.00,,0.00
1/14/2022,698.00,698.00,698.00,698.00,,0.00
1/13/2022,698.00,698.00,698.00,698.00,,0.01
1/12/2022,694.00,694.00,694.00,694.00,,-0.01
1/11/2022,698.00,698.00,698.00,698.00,,-0.01
1/10/2022,704.00,704.00,704.00,704.00,,0.00
1/7/2022,705.00,705.00,705.00,705.00,,-0.01
1/6/2022,711.00,711.00,711.00,711.00,,0.00
1/5/2022,711.00,711.00,711.00,711.00,,-0.02
1/4/2022,722.00,722.00,722.00,722.00,,-0.08
12/24/2021,786.00,786.00,786.00,786.00,,0.00
12/23/2021,788.00,788.00,788.00,788.00,,0.00
12/22/2021,788.00,788.00,788.00,788.00,,-0.02
12/21/2021,801.00,801.00,801.00,801.00,,0.00
12/20/2021,804.00,804.00,804.00,804.00,,0.00
12/17/2021,803.00,803.00,803.00,803.00,,0.00
12/16/2021,801.00,801.00,801.00,801.00,,0.00
12/15/2021,803.00,803.00,803.00,803.00,,0.01
12/14/2021,795.00,795.00,795.00,795.00,,0.01
12/13/2021,788.00,788.00,788.00,788.00,,0.00
12/10/2021,785.00,785.00,785.00,785.00,,0.01
12/9/2021,777.00,777.00,777.00,777.00,,0.01
12/8/2021,771.00,771.00,771.00,771.00,,0.01
12/7/2021,764.00,764.00,764.00,764.00,,0.01
12/6/2021,754.00,754.00,754.00,754.00,,0.02
12/3/2021,737.00,737.00,737.00,737.00,,0.01
12/2/2021,727.00,727.00,727.00,727.00,,0.01
12/1/2021,720.00,720.00,720.00,720.00,,0.00
11/30/2021,721.00,721.00,721.00,721.00,,-0.01
11/29/2021,731.00,731.00,731.00,731.00,,-0.01
11/26/2021,738.00,738.00,738.00,738.00,,-0.01
11/25/2021,745.00,745.00,745.00,745.00,,0.00
11/24/2021,744.00,744.00,744.00,744.00,,-0.01
11/23/2021,753.00,753.00,753.00,753.00,,-0.01
11/22/2021,763.00,763.00,763.00,763.00,,-0.02
11/19/2021,780.00,780.00,780.00,780.00,,-0.01
11/18/2021,788.00,788.00,788.00,788.00,,-0.01
11/17/2021,795.00,795.00,795.00,795.00,,-0.01
11/16/2021,802.00,802.00,802.00,802.00,,-0.01
11/15/2021,812.00,812.00,812.00,812.00,,-0.01
11/12/2021,821.00,821.00,821.00,821.00,,-0.02
11/11/2021,835.00,835.00,835.00,835.00,,0.00
11/10/2021,833.00,833.00,833.00,833.00,,0.00
11/9/2021,835.00,835.00,835.00,835.00,,0.01
11/8/2021,828.00,828.00,828.00,828.00,,0.01
11/5/2021,817.00,817.00,817.00,817.00,,0.02
11/4/2021,798.00,798.00,798.00,798.00,,0.01
11/3/2021,794.00,794.00,794.00,794.00,,0.00
11/2/2021,793.00,793.00,793.00,793.00,,0.00
11/1/2021,794.00,794.00,794.00,794.00,,0.00
10/29/2021,797.00,797.00,797.00,797.00,,0.00
10/28/2021,800.00,800.00,800.00,800.00,,0.01
10/27/2021,796.00,796.00,796.00,796.00,,0.00
10/26/2021,793.00,793.00,793.00,793.00,,0.01
10/25/2021,784.00,784.00,784.00,784.00,,0.02
10/22/2021,768.00,768.00,768.00,768.00,,0.02
10/21/2021,755.00,755.00,755.00,755.00,,0.02
10/20/2021,743.00,743.00,743.00,743.00,,0.01
10/19/2021,737.00,737.00,737.00,737.00,,0.01
10/18/2021,727.00,727.00,727.00,727.00,,0.00
10/15/2021,726.00,726.00,726.00,726.00,,0.01
10/14/2021,719.00,719.00,719.00,719.00,,0.01
10/13/2021,710.00,710.00,710.00,710.00,,0.01
10/12/2021,701.00,701.00,701.00,701.00,,0.01
10/11/2021,692.00,692.00,692.00,692.00,,0.02
10/8/2021,680.00,680.00,680.00,680.00,,0.02
10/7/2021,668.00,668.00,668.00,668.00,,0.01
10/6/2021,662.00,662.00,662.00,662.00,,0.02
10/5/2021,649.00,649.00,649.00,649.00,,0.02
10/4/2021,635.00,635.00,635.00,635.00,,0.01
10/1/2021,630.00,630.00,630.00,630.00,,0.01
9/30/2021,626.00,626.00,626.00,626.00,,0.00
9/29/2021,623.00,623.00,623.00,623.00,,0.01
9/28/2021,618.00,618.00,618.00,618.00,,0.00
9/27/2021,616.00,616.00,616.00,616.00,,0.00
9/24/2021,614.00,614.00,614.00,614.00,,0.00
9/23/2021,614.00,614.00,614.00,614.00,,0.01
9/22/2021,610.00,610.00,610.00,610.00,,0.00
9/21/2021,607.00,607.00,607.00,607.00,,0.00
9/20/2021,608.00,608.00,608.00,608.00,,0.00
9/17/2021,608.00,608.00,608.00,608.00,,-0.01
9/16/2021,616.00,616.00,616.00,616.00,,0.00
9/15/2021,618.00,618.00,618.00,618.00,,0.01
9/14/2021,614.00,614.00,614.00,614.00,,0.00
9/13/2021,612.00,612.00,612.00,612.00,,0.00
9/10/2021,611.00,611.00,611.00,611.00,,0.00
9/9/2021,609.00,609.00,609.00,609.00,,0.01
9/8/2021,604.00,604.00,604.00,604.00,,-0.01
9/7/2021,610.00,610.00,610.00,610.00,,-0.01
9/6/2021,615.00,615.00,615.00,615.00,,0.00
9/3/2021,616.00,616.00,616.00,616.00,,0.00
9/2/2021,617.00,617.00,617.00,617.00,,0.01
